Case Type,Region,Case Number,Case Name,Status,Date Filed,Date Closed,Reason Closed,City,States & Territories,Employees on charge/petition,Allegations,Participants,Union,Unit Sought,Voters
C,"Region 32, Oakland, California",32-CA-309008,"Tesla, Inc.",Open,12/15/2022,,,Palo Alto,CA,99000,"8(a)(1) Coercive Rules
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Broderdorf David, Morgan, Lewis & Bockius LLP, 1111 Pennsylvania Ave NW, Washington, DC, 20004-2541, (202)739-5817
Charging Party, Legal Representative, Burgess Laurie, Burgess Law Offices PC, 498 Utah Street, San Francisco, CA, 94110, (312)320-1718
Charged Party / Respondent, Legal Representative, MORTENSEN MICAHEL, MORGAN LEWIS, 1717 Main Street, Suite 3200, Dallas, TX,  75201, (612)385-7777
Charged Party / Respondent, Employer, Tesla, Inc., Palo Alto, CA, 94304-1317
Charging Party, Individual, Lieff Cabraser Heimann & Bernstein LLP
",,,
C,"Region 32, Oakland, California",32-CA-309022,"Tesla, Inc.",Open,12/15/2022,,,Palo Alto,CA,99000,"8(a)(1) Coercive Rules
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Broderdorf David, Morgan, Lewis & Bockius LLP, 1111 Pennsylvania Ave NW, Washington, DC, 20004-2541, (202)739-5817
Charging Party, Legal Representative, Burgess Laurie, Burgess Law Offices PC, 498 Utah Street, San Francisco, CA, 94110, (312)320-1718
Charged Party / Respondent, Legal Representative, MORTENSEN MICAHEL, MORGAN LEWIS, 1717 Main Street, Suite 3200, Dallas, TX,  75201, (612)385-7777
Charging Party, Individual, Lieff Cabraser Heimann & Bernstein LLP
Charged Party / Respondent, Employer, Tesla, Inc., Palo Alto, CA, 94304-1317
",,,
C,"Region 32, Oakland, California",32-CA-309003,"Tesla, Inc.",Closed,12/15/2022,12/27/2022,Withdrawal Non-adjusted,Palo Alto,CA,99000,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
8(a)(1) Coercive Rules
","Charged Party / Respondent, Legal Representative, Broderdorf David, Morgan, Lewis & Bockius LLP, 1111 Pennsylvania Ave NW, Washington, DC, 20004-2541, (202)739-5817
Charging Party, Legal Representative, Burgess Laurie, Burgess Law Offices PC, 498 Utah Street, San Francisco, CA, 94110, (312)320-1718
Charged Party / Respondent, Legal Representative, MORTENSEN MICAHEL, MORGAN LEWIS, 1717 Main Street, Suite 3200, Dallas, TX,  75201, (612)385-7777
Charged Party / Respondent, Employer, Tesla, Inc., Palo Alto, CA, 94304-1317
Charging Party, Individual, Lieff Cabraser Heimann & Bernstein LLP
",,,
C,"Region 32, Oakland, California",32-CA-308997,"Tesla, Inc.",Closed,12/15/2022,12/27/2022,Withdrawal Non-adjusted,Palo Alto,CA,99000,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
8(a)(1) Coercive Actions (Surveillance, etc)
","Charged Party / Respondent, Legal Representative, Broderdorf David, Morgan, Lewis & Bockius LLP, 1111 Pennsylvania Ave NW, Washington, DC, 20004-2541, (202)739-5817
Charging Party, Legal Representative, Burgess Laurie, Burgess Law Offices PC, 498 Utah Street, San Francisco, CA, 94110, (312)320-1718
Charged Party / Respondent, Legal Representative, MORTENSEN MICAHEL, MORGAN LEWIS, 1717 Main Street, Suite 3200, Dallas, TX,  75201, (612)385-7777
Charging Party, Individual, Lieff Cabraser Heimann & Bernstein LLP
Charged Party / Respondent, Employer, Tesla, Inc., Palo Alto, CA, 94304-1317
",,,
C,"Region 12, Tampa, Florida",12-CA-293359,"Tesla, Inc.",Open,4/1/2022,,,Orlando,FL,20,"8(a)(1) Coercive Actions (Surveillance, etc)
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Broderdorf David, Morgan, Lewis & Bockius LLP, 1111 Pennsylvania Ave NW, Washington, DC, 20004-2541, (202)739-5817
Charged Party / Respondent, Legal Representative, Emery Lauren, Morgan, Lewis & Bockius LLP, 110 N Wacker Dr, Suite 2800, Chicago, IL, 60606-1511, (312)324-1147
Charging Party, Individual
Charged Party / Respondent, Employer, Tesla, Inc., 1051 Sand Lake Rd, Orlando, FL, 32809, (407)723-5613
",,,
C,"Region 32, Oakland, California",32-CA-287631,"Tesla, Inc.",Closed,12/13/2021,2/18/2022,Dismissal Non-adjusted,Fremont,CA,10000,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Broderdorf David, Morgan, Lewis & Bockius LLP, 1111 Pennsylvania Ave NW, Washington, DC, 20004-2541, (202)739-5817
Charged Party / Respondent, Legal Representative, Emery Lauren, Morgan, Lewis & Bockius LLP, 110 N Wacker Dr, Suite 2800, Chicago, IL, 60606-1511, (312)324-1147
Charged Party / Respondent, Employer, Tesla, Inc., Fremont, CA, 94538-6326
Charging Party, Individual
",,,
C,"Region 05, Baltimore, Maryland",05-CA-271299,Tesla Inc.,Closed,1/11/2021,1/15/2021,Withdrawal Non-adjusted,Owings Mills,MD,30,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Broderdorf David, Morgan, Lewis & Bockius LLP, 1111 Pennsylvania Ave NW, Washington, DC, 20004-2541, (202)739-5817
Charged Party / Respondent, Legal Representative, Emery Lauren, Morgan, Lewis & Bockius LLP, 110 N Wacker Dr, Suite 2800, Chicago, IL, 60606-1511, (312)324-1147
Charging Party, Individual
Charged Party / Respondent, Employer, Tesla Inc., Owings Mills, MD, 21117
",,,
C,"Region 32, Oakland, California",32-CA-269127,Tesla Gigafactory,Closed,11/17/2020,1/26/2021,Dismissal Non-adjusted,Sparks,NV,5000,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Hart Douglas, Morgan, Lewis & Bockius LLP, 300 South Grand Ave. 22nd Floor, Los Angeles, CA, 90071, (213)612-7332
Charged Party / Respondent, Legal Representative, Marks Richard, Morgan, Lewis & Bockius LLP, 1111 Pennsylvania Ave. NW, Washington, DC, 20004, (202)739-5470
Charged Party / Respondent, Employer, Tesla Gigafactory, Sparks, NV, 89434
Charging Party, Individual
",,,
C,"Region 01, Boston, Massachusetts",01-CA-262242,Tesla Motors Inc,Closed,6/26/2020,9/3/2020,Withdrawal Non-adjusted,Rocky Hill,CT,35,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Broderdorf David, Morgan, Lewis & Bockius LLP, 1111 Pennsylvania Ave NW, Washington, DC, 20004-2541, (202)739-5817
Charged Party / Respondent, Legal Representative, Emery Lauren, Morgan, Lewis & Bockius LLP, 110 N Wacker Dr, Suite 2800, Chicago, IL, 60606-1511, (312)324-1147
Charging Party, Individual
Charged Party / Respondent, Employer, Tesla Motors Inc, Palo Alto, CA, 94304-____
",,,
C,"Region 32, Oakland, California",32-CA-255127,"Tesla, Inc.",Closed,1/24/2020,3/25/2020,Withdrawal Non-adjusted,Fremont,CA,10000,"8(a)(1) Coercive Rules
8(a)(1) Coercive Actions (Surveillance, etc)
","Charged Party / Respondent, Legal Representative, Morris Keahn, Sheppard Mullin, 4 Embarcadero Center, 17th Floor, San Francisco, CA, 94111, (415)774-2934
Charged Party / Respondent, Legal Representative, Ross Mark, Sheppard Mullin Richter & Hampton LLP, 4 Embarcadero Center, 17th Floor, San Francisco, CA, 94111, (415)774-2930
Charged Party / Respondent, Employer, Tesla, Inc., Fremont, CA, 94538-6326
Charging Party, Individual
",,,
C,"Region 05, Baltimore, Maryland",05-CA-250862,Tesla Motors,Closed,10/29/2019,12/9/2019,Withdrawal Adjusted,Glen Allen,VA,6,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Bodiford Jaime, Tesla, Inc., 901 Page Avenue, Fremont, CA, 94538, (817)307-6987
Charging Party, Individual
Charged Party / Respondent, Employer, Tesla Motors, Glen Allen, VA, 23060-4171
",,,
C,"Region 03, Buffalo, New York",03-CA-244618,Tesla,Closed,7/10/2019,9/4/2019,Dismissal Non-adjusted,Buffalo,NY,350,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Employer, Tesla, Inc., Buffalo, NY, 14220
Charging Party, Individual
",,,
C,"Region 03, Buffalo, New York",03-CA-243522,Tesla,Closed,6/19/2019,8/29/2019,Withdrawal Non-adjusted,Buffalo,NY,350,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
8(a)(1) Interrogation (including Polling)
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
8(a)(1) Coercive Actions (Surveillance, etc)
","Charged Party / Respondent, Legal Representative, Broderdorf David, Morgan, Lewis & Bockius LLP, 1111 Pennsylvania Ave NW, Washington, DC, 20004-2541, (202)739-5817
Charged Party / Respondent, Legal Representative, Jacob Diana, Morgan, Lewis & Bockius LLP, 77 West Wacker Drive, 5th Floor, Chicago, IL, 60601-5094, (312)324-1193
Charged Party / Respondent, Legal Representative, Bodiford Jaime, Tesla, Inc., 901 Page Avenue, Fremont, CA, 94538, (817)307-6987
Charged Party / Respondent, Legal Representative, Emery Lauren, Morgan, Lewis & Bockius LLP, 110 N Wacker Dr, Suite 2800, Chicago, IL, 60606-1511, (312)324-1147
Charged Party / Respondent, Employer, Tesla, Inc., Buffalo, NY, 14220
",,,
C,"Region 21, Los Angeles, California",21-CA-239872,Tesla Motors,Closed,4/16/2019,6/5/2019,Withdrawal Non-adjusted,Buena Park,CA,200,"8(a)(1) Denial of Access
8(a)(1) Coercive Rules
","Charged Party / Respondent, Legal Representative, Kosela Jean, Ogletree, Deakins, Nash, Smoak & Stewart, P.C., Steuart Tower, One Market Plaza, Suite 1300, San Francisco, CA, 94105, (415)310-3942
Charged Party / Respondent, Legal Representative, Anastas Maria, Ogletree, Deakins, Nash, Smoak & Stewart, P.C., 400 South Hope Street, Suite 1200, Los Angeles, CA, 90071-2818, (213)239-9800
Charged Party / Respondent, Legal Representative, Rampel Rhea, 901 Page Avenue, Fremont, CA, 94538-7341, (650)416-9449
Charged Party / Respondent, Employer, Tesla Motors, Buena Park, CA, 90621
Charging Party, Individual
",,,
C,"Region 32, Oakland, California",32-CA-232333,Tesla,Closed,12/5/2018,12/13/2018,Withdrawal Non-adjusted,Lathrop,CA,500,"8(a)(1) Coercive Rules
","Charged Party / Respondent, Employer, Tesla, Lathrop, CA, 95330-8757
Charging Party, Individual
",,,
C,"Region 32, Oakland, California",32-CA-231690,"Tesla, Inc.",Closed,11/21/2018,6/19/2019,Informal Settlement,Fremont,CA,10000,"8(a)(1) Coercive Rules
","Charging Party, Legal Representative, Willis Henry, Schwartz, Steinsapir, Dohrmann, & Sommers, LLP, 6300 Wilshire Boulevard, Suite 2000, Los Angeles, CA, 90048, (323)655-4700
Charged Party / Respondent, Legal Representative, Bodiford Jaime, Tesla, Inc., 901 Page Avenue, Fremont, CA, 94538, (817)307-6987
Charging Party, Notification, Sodko Jeffrey, International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), AFL-CIO, Law Department, 8000 East Jefferson Avenue, Detroit, MI, 48214-3963, (313)926-5216
Charged Party / Respondent, Employer, Tesla, Inc., Fremont, CA, 94538
Charging Party, Union, UNITED AUTOMOBILE, AEROSPACE AND AGRICULETRAL IMPLEMENT WORKERS OF AMERICA, UAW, Detroit, MI, 48214
",,,
C,"Region 32, Oakland, California",32-CA-221643,Tesla Inc,Closed,6/6/2018,8/2/2018,Dismissal Non-adjusted,Fremont,CA,20000,"8(a)(1) Coercive Rules
","Charged Party / Respondent, Employer, Tesla, Inc., Palo Alto, CA, 94304
Charging Party, Individual
",,,
C,"Region 32, Oakland, California",32-CA-220777,"TESLA, INC.",Open,5/23/2018,,,Fremont,CA,10000,"8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
","Charging Party, Notification, Sodko Jeffery, International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), AFL-CIO, Law Department, 8000 E Jefferson Avenue, Detroit, MI, 48214-3963
Charged Party / Respondent, Legal Representative, Morris Keahn, SHEPPARD MULLIN, 4 Embarcadero Center 17th Floor, San Francisco, CA, 94111, (415)774-2934
Charging Party, Legal Representative, FEINBERG MARGO, Margo Feinberg, Daniel Curvy Schwartz, Steinsapir, Dohrmann & Sommers, 6300 WILSHIRE BLVD, STE 2000, LOS ANGELES, CA, 90048, (323)655-4700
Charged Party / Respondent, Legal Representative, Ross Mark, Sheppard Mullin Richter & Hampton LLP, 4 Embarcadero Center, 17th Floor, San Francisco, CA, 94111, (415)774-2930
Charging Party, Union, INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL WORKERS OF AMERICA (UAW), AFL-CIO, 8000 E Jefferson Ave, Detroit, MI, 48214-3963
Charged Party / Respondent, Employer, Tesla, Inc., 45500 Fremont Blvd, Fremont, CA, 94538-6326
",,,
C,"Region 32, Oakland, California",32-CA-214300,"TESLA, INC.",Closed,2/5/2018,3/29/2018,Withdrawal Non-adjusted,Fremont,CA,10000,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charging Party, Notification, Sodko Jeffrey, International Union, United Automobile, Aerospace and Agricultural Workers of America, AFL-CIO, 1930 Marlton Pike East, Cherry Hill, NJ,  08003, (313)926-5216
Charged Party / Respondent, Legal Representative, Skonberg John, Littler Mendolson, 333 Bush St., 34th Floor, San Francisco, CA, 94104-2842, (415)677-3103
Charging Party, Legal Representative, FEINBERG MARGO, SCHWARTZ, STEINSAPIR, DOHRMANN & SOMMERS LLP, 6300 WILSHIRE BLVD, STE 2000, LOS ANGELES, CA, 90048, (323)655-4700
Charged Party / Respondent, Employer, Tesla, Inc., Fremont, CA, 94538-6326
Charging Party, Union, INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AMERICA, (UAW), AFL-CIO, Detroit, MI, 48214-2699
",,,
C,"Region 32, Oakland, California",32-CA-210879,"TESLA, INC.",Open,12/1/2017,,,Fernley,NV,7000,"8(a)(1) Interrogation (including Polling)
8(a)(1) Coercive Actions (Surveillance, etc)
8(a)(1) Discharge of supervisor (Parker-Robb Chevrolet)
8(a)(3) Discipline
8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
","Charging Party, Legal Representative, Willis Henry, Schwartz, Steinsapir, Dohrmann, & Sommers, LLP, 6300 Wilshire Boulevard, Suite 2000, Los Angeles, CA, 90048, (323)655-4700
Charging Party, Notification, Sodko Jeffrey, International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), AFL-CIO, Law Department, 8000 East Jefferson Avenue, Detroit, MI, 48214-3963, (313)926-5216
Charged Party / Respondent, Legal Representative, Morris Keahn, SHEPPARD MULLIN, 4 Embarcadero Center 17th Floor, San Francisco, CA, 94111, (415)774-2934
Charged Party / Respondent, Legal Representative, Ross Mark, Sheppard Mullin Richter & Hampton LLP, 4 Embarcadero Center, 17th Floor, San Francisco, CA, 94111, (415)774-2930
Charged Party / Respondent, Employer, Tesla, Inc., 45500 Fremont Blvd, Fremont, CA, 94538-6326
",,,
C,"Region 32, Oakland, California",32-CA-210011,"Tesla, Inc.",Closed,11/15/2017,12/4/2017,Withdrawal Non-adjusted,Sparks,NV,7000,"8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
8(a)(1) Coercive Actions (Surveillance, etc)
8(a)(1) Discharge of supervisor (Parker-Robb Chevrolet)
","Charged Party / Respondent, Legal Representative, Parry Elizabeth, Littler Mendelson, P.C., 1255 Treat Blvd, Suite 600, Walnut Creek, CA, 94597-7605, (925)927-4542
Charging Party, Legal Representative, Willis Henry, Schwartz, Steinsapir, Dohrmann, & Sommers, LLP, 6300 Wilshire Boulevard, Suite 2000, Los Angeles, CA, 90048, (323)655-4700
Charging Party, Notification, Sodko Jeff, International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), AFL-CIO, Law Department,, 8000 East Jefferson Avenue, Detroit, MI, 48214, (313)926-5216
Charged Party / Respondent, Employer, Tesla, Inc., Fremont, CA, 94538-6326
Charging Party, Union, INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL WORKERS OF AMERICA (UAW), AFL-CIO, Detroit, MI, 48214-3963
",,,
C,"Region 21, Los Angeles, California",21-CA-209622,"SOLARCITY CORPORATION; SOLARCITY FINANCE COMPANY, LLC; TESLA MOTORS, INC. (OR TESLA, INC.)",Closed,11/7/2017,12/19/2017,Withdrawal Adjusted,Los Angeles,CA,1000,"8(a)(1) Coercive Rules
","Charging Party, Legal Representative, SODERSTROM JAMIN, SODERSTROM LAW PC, SODERSTROM LAW PC, 3 PARK PLAZA, SUITE 100, IRVINE, CA, 92614, (949)667-4700
Charging Party, Legal Representative, SODERSTROM JAMIN, SODERSTROM LAW PC, 3 Park Plz Ste 100, Irvine, CA, 92614-2580, (949)667-4700
Charging Party, Individual
Charging Party, Individual
Charged Party / Respondent, Employer, SOLARCITY CORPORATION; SOLARCITY FINANCE COMPANY, LLC; TESLA MOTORS, INC. (OR TESLA, INC.), San Mateo, CA, 94402-3709
",,,
C,"Region 32, Oakland, California",32-CA-208614,"TESLA, INC.",Open,10/25/2017,,,Fremont,CA,10000,"8(a)(3) Discipline
8(a)(4) Changes in Terms and Conditions of Employment
8(a)(1) Coercive Rules
8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
8(a)(4) Discharge (including Layoff and Refusal to Hire)
","Charging Party, Notification, Sodko Jeff, International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), AFL-CIO, Law Department,, 8000 East Jefferson Avenue, Detroit, MI, 48214, (313)926-5216
Charged Party / Respondent, Legal Representative, Morris Keahn, SHEPPARD MULLIN, 4 Embarcadero Center 17th Floor, San Francisco, CA, 94111, (415)774-2934
Charging Party, Legal Representative, Feinberg Margo, Schwartz, Steinsapir, Dohrmann & Sommers LLP, 6300 Wilshire Blvd., Suite 2000, Los Angeles, CA, 90048, (323)655-4700
Charged Party / Respondent, Legal Representative, Ross Mark, Sheppard Mullin Richter & Hampton LLP, 4 Embarcadero Center, 17th Floor, San Francisco, CA, 94111, (415)774-2930
",,,
